location_identifier,bounding_polygon,median_all_12m_price_per_m2,count_all_12m,median_6m_ago_price_per_m2,count_6m_ago,median_last_30d_price_per_m2,count_last_30d
1,0106000020E61000000100000001030000000100000005000000F1A1444B1E9B2A40B23BEEA53A394A40A732D6485C992A4020F532E59E474A40491A9249FCF82A4020F532E59E474A402836D5496C012B40FE8579EAEC394A40F1A1444B1E9B2A40B23BEEA53A394A40,20,9,29,2,,
10115,0106000020E6100000010000000103000000010000001400000041F8AB5B98CC2A40E37F3C050A434A409563B2B8FFC42A40460E6CF019434A40FE6A69C93EC32A40C2E4A14A28434A4019ABCDFFABC22A404043499231434A40D2FC31AD4DBF2A4028A72CF98E434A40F4972721A2BE2A4049AEAC7EB6434A40C0A959B109BE2A4077C54263DC434A403BCF8E0A52BB2A4092E11D8590444A40D3CE7A42C0BB2A40D38B35B79D444A40A89432045BBC2A4023EBBA01B0444A40D316D7F84CC22A40716EB83423454A40D4D51D8B6DC22A404D7E309523454A4071E6577380CC2A404B15D6D704454A40E8F86871C6CC2A40D4F59F90F8444A40EE66FCB1FFCC2A40DE29D31EE5444A405EEFA3BF3CCD2A4049A0C1A6CE444A40A0FF1EBC76CD2A40EA6BA7F79E444A40E2A5E5513BCD2A40CD412B8B1D434A40BDDAF6E230CD2A40DD8EBAE70A434A4041F8AB5B98CC2A40E37F3C050A434A40,21,"2566",21,435,22,282
10117,0106000020E61000000100000001030000000100000015000000ED74311702C22A404FCB0F5CE5404A4031A64F615BC12A40453EF90505414A4002092F66F0C02A40F616C5611F414A40911CFA38E4C02A408982740C23414A4079133246DAC02A4022AB5B3D27414A40074147AB5ABE2A40E1E8CF23EB424A40F8414C78F8BD2A40EEC968893A434A408772FD16F8BD2A4003E0E9DF3F434A40E5A210B7F9BD2A405C4E531564434A40D2FC31AD4DBF2A4028A72CF98E434A402A63320BA3BF2A404E0EFA2D95434A4096C73FD8CEC02A4024647B88A1434A4032DEFBC0FAC82A404126BE7F98434A404FAF946588CB2A40A9CC83AA87434A40FAD9232FC6CB2A40C0D7C68E7C434A40197849F7CECB2A409FE5797077434A408CE4E1F379CF2A40D89C836742414A406AB46675BCCF2A403A4C457419414A409A93179980CF2A401BDC31D010414A4056FD005AA9CE2A400650E7E50B414A40ED74311702C22A404FCB0F5CE5404A40,23,"1858",21,315,20,215
10119,0106000020E610000001000000010300000001000000130000003C16DBA4A2D12A40FE5B6ED51A434A4028B4514255D12A40F21D46521C434A40459C4EB2D5CD2A40825E6EE646434A40E8267B95C6CD2A404C45741948434A408052A346D7CB2A40F574BF547D434A4051E56A1ACACB2A40C86768F283434A40505CE91093CB2A40AD4AC741AE434A403299E08A7ACB2A40D904BDDCCC434A4095FDA9A745CB2A4032A193EF63444A407A9B487A62CB2A40DBE67C676A444A40ECD396DF0ECD2A4018377F5D97444A402A858ABB8BCD2A40A25D85949F444A40F37E92F1DECF2A40CBB3DCE396444A409B59A6BADBD02A40926B54F190444A4070D28FE10CD12A40C4A574FA8B444A404F948444DAD22A40BE09CF9552444A406094FB7843D52A402DD4F59F90434A40162DE521F8D42A4038FAF3C87A434A403C16DBA4A2D12A40FE5B6ED51A434A40,21,"1760",23,277,21,160
10178,0106000020E6100000010000000103000000010000001100000024F25D4A5DCE2A4010093AB58E414A405B7A34D593CD2A40331F6BA1BF414A4068452FFE11CD2A4073E9A91FE5414A40ACA4BA25DECA2A4050768E5C92424A40C048C3842CCA2A4073CCC353D9424A40B89388F02FCA2A40B764B03D0E434A40A6DB6D7253CA2A400D11DCED1F434A4044D2B8814CCC2A40A005572F75434A4084A2D4B9FDD12A40C575E7E4A0434A40123356F6B8D22A40483A5EDCA1434A40162DE521F8D42A4038FAF3C87A434A402F6CCD565EDA2A408B998E4AFB424A40A098068F80DB2A401239D8F6D1424A4087AD3484BEDB2A40B44AFAC5B6424A40D339F53757DB2A40B87878CF81424A4032FE220D13DA2A4096FB2EB65A424A4024F25D4A5DCE2A4010093AB58E414A40,19,"1348",18,194,21,160
10179,0106000020E61000000100000001030000000100000012000000E85BD54801D42A403F3CA64984404A40B0F5566EB3D22A404F458545A0404A40355772BAD1D02A40BACB3450CF404A40E432C92313CF2A40606A95AAFE404A4056FD005AA9CE2A400650E7E50B414A409A46EE44A4CD2A401898158A74414A403ED1D09A7AD02A40286AC427F8424A40545D1B857FD02A40925CFE43FA424A40966AB0BA1FD12A40CA5CCFC600434A408A55287744DA2A40D96CF65157424A4013D6C6D809DB2A40965F066344424A4090B1248ADADB2A40FF7B4B9418414A40F11DEB98A9DB2A4026D75E5507414A40D6B848EBB9DA2A40A1D398B5B9404A40496B67F393D92A40FC83EDCCA9404A409D52B9E413D92A40C982D3CCA4404A40B9837DE0CFD52A403196E99788404A40E85BD54801D42A403F3CA64984404A40,30,"2906",30,492,24,234
10243,0106000020E6100000010000000103000000010000001300000083797E07F5E32A409A01D30E24404A40E247EB5EDDDF2A400D9535A094404A40108C289254DB2A405CEBE63D29414A4040C9D3A876D82A40DA31BFE490414A4032FE220D13DA2A4096FB2EB65A424A405A18D81995DA2A403EA6FFF686424A40873DA363BDDB2A40AE2B6684B7424A40E6C0BC1127DD2A4052C94ADDDF424A40E47E2CE9CDDD2A40A17B7B7CE7424A407A731310EEDD2A4000F4458CE8424A40BC5175D9F9E82A40C625D8C92A424A40FD5DE9C605E92A40FF08C38025424A401F9D5F39E7E82A40A3BE767AEF414A407F60D8ABD9E82A408604E7E7E1414A40499EEBFB70E82A40135A208B7E414A40FEB4519D0EE82A4003B2D7BB3F414A40C5A1C8A4D0E72A40371AC05B20414A40C7AEFE19EFE42A40DDE9735A5C404A4083797E07F5E32A409A01D30E24404A40,22,"2853",22,400,28,475
10245,0106000020E6100000010000000103000000010000000D00000036F570B845F72A40D8DBC1E3363E4A40F8DD74CB0EF52A40924A6716573E4A40FB1AEEC8FDE72A40E29F0898AF3F4A40F7CD588F56E42A4094DFFD4C18404A4083797E07F5E32A409A01D30E24404A40A7DC8EBAE7E62A40F59D5F94A0414A4054C6BFCFB8E82A40B0C513E6E2414A4038C8DA954CEC2A40343795FBD3414A4040129B34B2EC2A40B59E6BA9CD414A40CB57B89B96F22A4062516C6006414A408BAB25789EFB2A408399000D803E4A40490B3C9C65FB2A40A4349BC7613E4A4036F570B845F72A40D8DBC1E3363E4A40,23,"4817",22,683,24,625
10247,0106000020E61000000100000001030000000100000013000000ABAD7DA603F22A40C0E556ADF1404A4059A1ED3D01F12A40347ADA86F6404A408A2AB28CC3EF2A403D9AEAC9FC404A40F2B4FCC055EA2A4081F8AF62A7414A407F60D8ABD9E82A408604E7E7E1414A40600322C495E72A408FA449CE2E424A403D0565BF93E72A408FCAA88D45424A407CB4386398E72A407414D67C4B424A407A275591C0E92A403E5EA340FA424A40E57162597AEA2A40AEC0EB8E20434A4007787709F3EB2A401CC8C4F70F434A4035F680D481EF2A4060240F9FCF424A4083E38D27DDF12A4012DFE412A2424A40CBAE6AFFB9F22A40CDB051D66F424A40C4C59B46A4F32A404770C8AB18424A401468661CD9F32A40EC0B321356414A40CEC64ACCB3F22A401F14EF5B08414A40AAD381ACA7F22A40862D872705414A40ABAD7DA603F22A40C0E556ADF1404A40,19,"3626",19,528,20,418
10249,0106000020E6100000010000000103000000010000001600000037F28AF1ABE72A40807F4A9528424A40D3C155F9F9E22A40B59EC66240424A407720A11CBBE22A4014FDEB2642424A40B87F1B182FDC2A401E763AEBAE424A40873DA363BDDB2A40AE2B6684B7424A4093C1F63878DB2A40BCC0F6DDBE424A404D66BCADF4DA2A400EEA6C12CD424A40A479B6FDE1D92A40764C82DCEA424A4005C5EAEAE9D62A402A05381845434A403C6E5397E7D82A404ACDC3AE92434A40136AE10DC4D92A404C2A64F899434A40D23F1C7FFDDF2A401DD8E033C8434A408A5EA16A4FE02A400582A55FC7434A409E899FB591E92A40B5A09C0D9E434A405EC76E55C8EF2A40120FCDE1FF424A40BD2A61B719F02A40D5E132B8F7424A409797570971F02A40BC96EBC8EC424A402F974341DFF02A404947DEDEDA424A40EE3B2B0E0CF12A40A654D33FD2424A401E6CB1DB67F12A40FAD0AA3BBB424A40A355D22FB6F12A408EE0EB10A4424A4037F28AF1ABE72A40807F4A9528424A40,21,"2673",18,412,18,283
